154	2848
32	863
44	1531
124	355
22	8055
25	354
6	20046
6	29006
33	321
14	12545
18	9073
78	280
9	7173
15	994
7	26582
30	2569
84	391
104	166
66	909
13	271
56	3640
42	4510
9	16683
16	1518
97	165
114	205
102	130
58	627
6	18943
41	994
96	379
115	187
13	4736
38	582
24	2215
82	367
90	1008
26	5432
12	2696
10	4014
9	1983
7	11459
9	4450
89	117
7	33191
106	893
34	1508
46	1565
54	973
39	1660
107	388
98	96
12	2433
107	96
20	2593
5	24453
7	26444
10	19766
85	5007
122	321
23	343
6	29632
73	397
8	8684
14	2485
8	9145
40	1392
124	442
132	131
58	726
82	386
35	697
5	22898
14	4325
5	26217
72	365
48	1019
39	1544
95	11308
6	17419
7	16738
7	19121
86	736
12	1779
4	41718
30	1228
34	995
65	330
65	654
22	271
9	9736
14	15757
39	331
86	359
16	1764
29	3114
72	486
153	1124
56	5498
13	1595
6	35109
23	1660
77	215
142	142
11	4313
49	1079
149	223
8	8793
26	1649
7	12717
92	401
15	3508
31	2700
20	2104
26	383
52	388
51	1265
110	77
78	2399
60	2059
82	203
6	25635
10	9039
18	19450
7	16866
44	464
114	207
77	587
5	33734
25	6232
74	504
25	6417
21	2934
61	1083
39	1860
45	2497
35	1093
13	3058
8	10428
9	12213
17	14013
7	11854
24	1570
19	2451
125	238
25	4819
18	3183
58	1106
	19121
51	49
23	6583
62	572
12	7272
169	293
5	25581
12	3266
7	9652
23	686
112	119
48	3230
7	14111
15	716
71	36
24	967
65	1389
5	26253
5	42416
33	3573
56	122
80	139
30	2896
86	322
3	1787
14	4083
37	2030
44	2814
57	321
113	305
18	694
15	17690
6	18913
7	26037
17	5602
43	435
38	1289
21	3496
37	270
80	732
19	1487
103	382
68	786
